calendar_day,avg_consumption,avg_weekday_consumption,avg_weekend_consumption
05-31,1264.4444444444443,1297.75,998.0
06-01,1250.6666666666667,1294.4285714285713,1097.5
06-02,1250.0,1330.3333333333333,1089.3333333333333
06-03,1234.4444444444443,1307.1666666666667,1089.0
06-04,1212.4444444444443,1332.2,1062.75
06-05,1212.4444444444443,1281.3333333333333,1074.6666666666667
06-06,1262.3333333333333,1305.857142857143,1110.0
06-07,1307.3333333333333,1341.0,1038.0
06-08,1273.2222222222222,1324.2857142857142,1094.5
06-09,1240.111111111111,1326.5,1067.3333333333333
06-10,1218.0,1269.5,1115.0
06-11,1215.4444444444443,1313.6,1092.75
06-12,1260.6666666666667,1335.6666666666667,1110.6666666666667
06-13,1297.2222222222222,1353.857142857143,1099.0
06-14,1313.0,1346.375,1046.0
06-15,1274.0,1321.2857142857142,1108.5
06-16,1232.7777777777778,1306.3333333333333,1085.6666666666667
06-17,1255.111111111111,1331.6666666666667,1102.0
06-18,1249.0,1372.2,1095.0
06-19,1273.111111111111,1344.5,1130.3333333333333
06-20,1286.3333333333333,1334.2857142857142,1118.5
06-21,1320.2222222222222,1359.0,1010.0
06-22,1311.5555555555557,1371.5714285714287,1101.5
06-23,1262.111111111111,1352.8333333333333,1080.6666666666667
06-24,1262.0,1338.0,1110.0
06-25,1241.5555555555557,1354.8,1100.0
06-26,1262.4444444444443,1348.0,1091.3333333333333
06-27,1304.7777777777778,1366.7142857142858,1088.0
06-28,1326.4444444444443,1364.125,1025.0
06-29,1311.4444444444443,1367.142857142857,1116.5
06-30,1280.0,1363.6666666666667,1112.6666666666667
07-01,1281.4444444444443,1366.1666666666667,1112.0
07-02,1248.3333333333333,1365.0,1102.5
07-03,1261.4444444444443,1344.8333333333333,1094.6666666666667
07-04,1311.0,1367.2857142857142,1114.0
07-05,1340.6666666666667,1371.75,1092.0
07-06,1327.0,1379.5714285714287,1143.0
07-07,1274.5555555555557,1361.6666666666667,1100.3333333333333
07-08,1263.7777777777778,1339.5,1112.3333333333333
07-09,1243.111111111111,1353.8,1104.75
07-10,1266.111111111111,1343.0,1112.3333333333333
07-11,1288.7777777777778,1344.2857142857142,1094.5
07-12,1316.2222222222222,1354.625,1009.0
07-13,1298.111111111111,1349.857142857143,1117.0
